crop_type,soil_ph,nitrogen,phosphorus,potassium,moisture_pct,recommended_fertilizer
sugarcane,6.96,42.7,36.8,74.5,30.3,Urea
cotton,6.08,110.9,34.2,27.9,23.0,DAP
wheat,4.69,88.4,26.1,67.0,95.0,Compost
cotton,7.24,156.9,24.3,16.4,40.8,MOP
rice,6.12,17.3,45.2,48.8,50.7,Urea
cotton,7.44,102.9,40.1,85.5,61.0,NPK
cotton,8.79,178.0,30.2,13.1,38.5,Compost
wheat,6.98,72.7,54.9,85.1,33.9,NPK
sugarcane,6.73,68.0,24.2,29.5,37.7,MOP
wheat,5.87,91.7,59.5,65.3,42.0,NPK
maize,7.19,10.0,39.3,10.4,40.5,NPK
wheat,6.48,98.2,5.9,55.1,68.7,DAP
sugarcane,6.09,98.4,8.4,9.7,60.1,MOP
maize,5.62,98.9,11.6,31.2,69.0,NPK
sugarcane,6.37,72.2,5.0,70.6,26.9,DAP
sugarcane,5.5,70.7,61.3,57.1,47.6,Compost
sugarcane,7.61,192.7,12.1,19.2,62.9,MOP
maize,6.2,126.3,13.4,37.5,60.2,DAP
maize,7.34,122.7,79.2,50.5,43.0,NPK
sugarcane,5.53,57.4,39.6,48.1,29.6,Compost
cotton,6.27,138.6,20.1,57.0,42.8,Urea
maize,5.25,151.9,46.7,8.0,71.9,Compost
rice,5.93,102.5,64.4,8.0,32.9,MOP
wheat,7.01,42.4,58.5,55.7,42.8,Urea
cotton,6.46,63.7,43.2,8.0,61.5,Urea
wheat,6.7,60.8,5.0,61.9,45.3,DAP
cotton,5.8,59.2,36.4,69.3,68.7,NPK
rice,7.85,69.9,37.9,50.5,30.6,NPK
wheat,7.92,66.6,55.9,67.5,20.5,Compost
cotton,5.71,108.7,52.6,37.5,25.3,NPK
sugarcane,7.95,98.5,11.5,21.3,66.0,MOP
maize,6.07,179.7,25.6,45.1,44.3,NPK
rice,6.64,119.7,47.3,60.2,41.1,NPK
wheat,7.52,68.7,30.8,57.7,48.8,NPK
wheat,5.76,105.2,80.7,41.2,37.4,NPK
sugarcane,7.03,92.2,85.6,57.4,32.3,NPK
sugarcane,7.18,66.7,57.3,79.7,75.3,NPK
sugarcane,6.4,161.5,55.5,65.3,39.0,NPK
cotton,7.2,36.8,5.0,79.4,85.3,DAP
rice,6.28,59.0,56.5,60.2,56.9,NPK
cotton,6.37,92.6,55.1,67.5,77.7,NPK
cotton,5.81,14.2,40.4,29.7,58.0,NPK
sugarcane,7.52,103.6,37.0,30.4,51.3,NPK
maize,6.82,77.8,13.9,39.2,42.3,DAP
rice,7.31,88.0,36.8,63.8,78.4,NPK
maize,4.61,65.8,54.1,47.0,25.7,Compost
maize,7.09,126.8,54.1,53.8,91.2,NPK
cotton,6.41,47.5,90.9,14.2,35.3,NPK
rice,6.48,60.8,31.3,35.7,26.7,NPK
wheat,4.6,176.1,43.4,17.7,66.3,Compost
wheat,5.66,39.2,30.3,66.6,45.6,Urea
maize,5.16,38.2,32.6,16.0,64.7,Compost
sugarcane,6.36,129.5,26.2,65.9,40.9,NPK
maize,5.83,109.0,55.1,81.4,54.1,NPK
sugarcane,6.44,47.0,28.1,40.4,49.0,NPK
rice,6.47,83.6,38.0,83.6,64.6,NPK
rice,7.06,126.2,44.3,88.1,34.9,NPK
rice,5.67,114.9,95.0,63.6,70.4,NPK
rice,5.6,13.4,47.1,52.5,76.2,Compost
wheat,6.82,84.1,46.3,51.5,49.4,NPK
maize,8.27,30.8,45.5,37.9,37.4,Compost
maize,6.53,150.0,47.7,36.4,40.5,NPK
sugarcane,7.04,93.6,30.0,38.6,50.9,NPK
cotton,8.14,50.4,16.1,57.6,86.7,Compost
wheat,4.93,163.0,49.9,23.7,39.0,Compost
sugarcane,5.51,42.3,56.6,65.1,29.3,Compost
rice,4.88,61.9,76.4,50.2,46.8,Compost
sugarcane,6.28,20.7,53.0,83.5,40.1,Urea
cotton,6.99,177.2,33.1,40.3,48.6,NPK
maize,7.19,46.4,73.5,60.7,48.8,Urea
wheat,7.26,95.9,32.4,42.7,39.2,NPK
wheat,6.29,119.3,87.1,57.4,67.2,NPK
wheat,7.49,112.9,79.0,51.3,38.2,NPK
wheat,6.37,53.8,14.3,22.6,66.8,MOP
sugarcane,5.32,156.7,55.9,8.0,48.2,Compost
sugarcane,5.94,95.1,26.5,18.3,60.6,MOP
rice,7.06,90.5,5.0,66.0,69.9,DAP
sugarcane,6.43,28.7,32.8,72.1,15.8,Compost
maize,7.26,74.5,60.2,88.6,73.9,NPK
wheat,6.87,88.8,43.3,12.9,69.6,MOP
rice,5.34,182.5,58.6,53.9,55.4,Compost
wheat,7.57,136.1,25.3,41.2,55.9,NPK
sugarcane,7.11,104.4,19.9,51.6,66.3,DAP
cotton,6.62,14.3,65.3,21.5,54.2,NPK
sugarcane,6.33,88.5,72.7,18.8,91.5,MOP
cotton,4.6,115.0,34.7,32.5,64.0,Compost
sugarcane,6.11,67.7,49.3,30.2,34.0,NPK
maize,8.18,42.6,41.0,29.5,69.6,Compost
maize,6.95,113.7,51.3,35.6,82.5,NPK
rice,6.26,139.1,47.5,58.2,82.0,NPK
cotton,5.87,147.3,78.6,84.2,35.0,NPK
cotton,7.22,10.0,74.8,48.2,58.5,Urea
wheat,5.78,29.3,54.2,44.8,53.9,Urea
sugarcane,6.03,10.0,28.5,42.2,42.5,NPK
wheat,6.97,42.1,34.2,51.6,73.2,MOP
wheat,7.35,14.6,13.1,55.7,33.6,DAP
cotton,6.71,88.9,46.2,57.6,71.5,NPK
sugarcane,7.98,108.7,60.4,63.0,39.1,NPK
rice,6.71,131.1,38.1,63.6,24.4,Compost
cotton,7.12,90.4,5.0,50.0,48.1,DAP
sugarcane,6.68,156.9,50.6,61.5,74.2,NPK
wheat,6.0,84.1,10.4,28.5,50.8,MOP
rice,7.49,96.4,61.4,25.5,37.5,MOP
maize,5.88,111.3,16.9,47.4,62.1,DAP
sugarcane,6.16,117.2,5.0,98.2,59.1,DAP
cotton,6.26,80.1,28.7,50.4,27.6,NPK
rice,6.13,48.5,29.8,109.8,46.3,NPK
wheat,6.11,60.8,48.8,38.1,38.1,NPK
maize,5.57,55.3,52.2,70.4,48.2,Compost
sugarcane,4.6,35.7,24.0,62.4,30.0,Compost
rice,5.82,125.7,42.6,45.5,32.3,NPK
maize,6.06,87.8,39.7,58.1,76.8,NPK
wheat,6.47,64.4,64.5,59.7,37.7,NPK
maize,6.45,132.9,59.1,39.4,41.2,NPK
wheat,6.06,173.1,23.4,87.8,38.4,DAP
maize,6.57,123.6,85.2,58.2,49.2,NPK
rice,6.48,192.0,48.2,10.1,60.6,MOP
sugarcane,6.65,42.5,37.6,52.0,39.6,Urea
wheat,5.95,95.0,75.8,61.7,57.2,MOP
cotton,5.33,28.8,22.6,33.7,63.3,Compost
maize,5.89,10.0,57.5,61.2,62.6,Urea
cotton,6.13,42.8,20.2,83.2,53.2,DAP
rice,6.27,56.9,43.9,62.1,67.8,NPK
maize,7.28,54.8,8.8,51.1,68.6,DAP
wheat,5.15,125.4,45.8,45.4,46.6,Compost
wheat,6.82,153.3,20.1,30.8,45.4,MOP
cotton,5.31,10.5,56.8,62.2,62.5,Compost
wheat,7.31,103.8,22.8,8.0,50.4,MOP
maize,6.65,51.7,5.0,22.1,27.0,MOP
rice,7.27,100.4,60.9,44.6,48.2,NPK
sugarcane,5.61,124.1,37.1,19.5,68.5,MOP
rice,6.5,10.0,5.0,71.9,47.8,DAP
maize,7.29,85.4,26.0,33.0,41.0,NPK
sugarcane,6.11,79.7,16.9,64.8,49.3,DAP
sugarcane,6.18,118.4,67.9,8.0,39.1,MOP
cotton,6.44,72.9,5.0,72.6,53.8,DAP
wheat,8.63,98.9,21.2,86.1,26.3,Compost
cotton,7.07,45.8,33.6,89.2,50.6,Urea
cotton,7.02,34.3,49.4,16.9,73.4,NPK
maize,6.5,38.5,41.5,20.0,48.4,NPK
rice,6.44,10.0,51.1,56.1,56.3,Urea
wheat,5.68,77.7,47.3,8.8,15.0,Compost
cotton,6.27,45.1,44.2,32.3,50.2,NPK
wheat,6.23,108.5,68.3,15.8,57.7,MOP
sugarcane,6.65,87.1,62.2,8.0,65.2,MOP
sugarcane,6.03,10.0,41.6,19.1,60.1,NPK
maize,6.55,104.3,60.3,48.6,55.9,NPK
maize,5.65,149.1,13.0,39.1,73.0,DAP
cotton,5.83,67.2,31.9,42.5,38.0,NPK
cotton,6.99,95.4,78.8,33.8,48.2,NPK
maize,6.07,10.0,18.9,42.1,88.2,Urea
rice,7.88,112.5,5.0,8.6,42.1,MOP
sugarcane,6.77,68.5,19.7,44.3,53.3,DAP
maize,6.72,87.7,23.8,21.1,51.9,MOP
rice,7.86,80.1,63.2,86.2,41.5,NPK
rice,7.06,77.8,21.3,27.0,43.3,MOP
rice,6.44,200.0,28.0,47.1,31.0,NPK
cotton,6.92,114.5,10.7,38.0,47.6,DAP
wheat,5.76,200.0,5.4,76.2,67.6,DAP
rice,7.07,110.1,39.9,52.1,91.4,NPK
maize,5.63,65.1,47.1,8.0,61.5,MOP
maize,6.59,35.2,42.8,28.0,49.3,NPK
rice,7.14,97.8,48.2,25.2,55.2,MOP
wheat,6.3,18.3,28.5,31.1,31.8,NPK
cotton,6.71,98.4,5.9,24.1,33.8,MOP
maize,6.36,74.9,31.7,81.6,78.2,Urea
cotton,6.06,94.0,62.1,17.6,64.2,MOP
wheat,5.89,160.4,67.7,45.2,76.9,NPK
wheat,4.6,78.8,29.1,52.7,53.6,Compost
sugarcane,5.98,19.2,38.7,28.1,64.1,NPK
cotton,6.43,18.8,15.5,13.3,53.6,NPK
sugarcane,5.62,46.6,43.8,83.0,50.1,Urea
cotton,7.3,200.0,19.7,82.2,82.1,DAP
rice,6.63,18.0,41.0,33.4,63.3,NPK
sugarcane,5.86,157.7,63.6,27.9,70.3,MOP
cotton,7.41,37.6,60.3,58.5,45.9,Urea
cotton,5.93,107.9,39.0,66.7,42.1,NPK
wheat,7.43,63.8,8.2,37.6,56.3,DAP
sugarcane,6.1,23.1,32.4,49.7,32.7,Urea
wheat,7.16,57.6,33.1,81.3,52.2,NPK
sugarcane,5.64,49.5,45.7,30.9,57.2,NPK
rice,5.64,75.1,21.0,78.2,44.5,DAP
wheat,7.12,51.9,35.9,32.1,41.9,NPK
maize,5.86,121.7,39.0,27.7,42.0,MOP
maize,5.98,99.9,18.3,65.7,42.8,DAP
cotton,5.51,79.0,20.0,73.4,36.4,Compost
rice,7.7,124.1,42.5,51.1,52.4,NPK
sugarcane,7.72,127.1,15.8,51.3,45.0,DAP
wheat,5.55,51.0,38.9,44.4,32.8,Compost
wheat,6.86,102.2,22.5,28.2,47.1,MOP
sugarcane,6.64,100.9,12.9,49.9,54.6,DAP
cotton,6.03,116.7,5.0,42.8,53.5,DAP
sugarcane,5.28,49.5,16.8,64.0,36.8,Compost
wheat,7.28,131.8,56.8,66.6,36.2,NPK
rice,6.25,99.1,14.3,59.7,59.7,DAP
rice,5.51,124.7,33.2,60.5,56.9,Compost
wheat,6.97,89.4,55.5,23.9,42.8,MOP
sugarcane,6.64,69.5,17.7,40.4,41.3,DAP
sugarcane,6.57,109.0,84.4,36.7,38.6,NPK
cotton,7.23,81.1,15.6,30.5,27.7,NPK
sugarcane,5.82,190.3,11.2,18.8,43.4,MOP
wheat,6.98,75.4,48.7,68.0,41.6,NPK
maize,7.35,106.8,49.7,17.3,23.1,Compost
wheat,6.38,89.5,29.7,43.2,54.2,NPK
rice,7.32,102.0,31.7,58.1,35.3,NPK
cotton,5.31,63.3,38.8,69.9,64.6,Compost
rice,6.53,164.2,39.3,38.1,30.1,NPK
rice,7.05,100.4,33.7,55.1,51.7,NPK
maize,6.21,68.4,31.6,31.8,69.8,NPK
maize,6.99,167.4,48.4,25.3,37.4,MOP
cotton,7.22,71.3,43.3,53.1,36.8,NPK
maize,6.8,50.9,76.7,86.6,56.9,Urea
sugarcane,7.88,31.1,18.0,26.9,28.5,NPK
sugarcane,6.26,110.4,43.1,43.9,58.8,NPK
wheat,8.0,52.5,24.5,69.9,57.8,DAP
rice,6.85,99.3,61.8,32.2,53.2,NPK
wheat,7.19,10.0,15.2,64.5,53.2,DAP
cotton,6.71,97.3,47.1,37.9,54.9,NPK
wheat,6.97,51.8,16.4,34.0,62.7,NPK
cotton,6.15,129.4,22.8,58.8,15.0,Compost
sugarcane,6.25,171.2,32.2,87.4,68.2,NPK
maize,5.86,153.0,47.5,49.4,46.0,Urea
maize,5.92,44.5,72.6,36.0,51.0,Urea
cotton,6.89,19.5,42.2,51.3,73.3,Urea
cotton,7.46,158.9,51.7,93.6,71.5,NPK
wheat,6.1,84.8,55.8,61.6,72.8,NPK
rice,7.21,188.8,90.2,55.9,78.5,NPK
wheat,6.87,123.1,40.4,33.0,46.4,NPK
rice,6.92,108.8,55.9,70.6,47.0,NPK
sugarcane,5.75,111.3,31.3,61.6,58.6,NPK
cotton,6.89,46.3,16.4,74.1,59.8,DAP
sugarcane,6.15,106.1,53.6,22.8,58.8,MOP
maize,6.34,61.7,45.3,60.0,46.1,NPK
rice,6.88,167.9,21.0,71.5,39.7,DAP
maize,7.92,44.0,5.0,23.9,86.1,NPK
rice,5.36,47.2,20.3,32.3,53.8,Compost
wheat,6.07,138.7,12.6,22.8,52.2,MOP
rice,5.39,41.8,48.6,22.0,66.3,Compost
sugarcane,5.73,173.9,37.7,26.4,63.6,MOP
maize,6.01,147.7,46.3,21.2,68.5,MOP
sugarcane,7.22,178.6,19.9,71.1,49.0,DAP
rice,6.82,51.3,62.3,23.1,29.6,MOP
wheat,7.95,77.6,11.3,42.5,59.4,DAP
cotton,7.3,10.0,56.3,52.9,75.4,Urea
cotton,6.58,53.9,47.3,78.0,26.1,Urea
sugarcane,5.43,112.0,66.7,99.8,51.9,Compost
sugarcane,6.8,99.7,5.0,34.3,67.6,NPK
cotton,6.15,80.4,78.4,31.5,37.5,NPK
cotton,6.68,70.8,21.3,40.0,75.2,DAP
rice,4.91,89.8,49.3,8.0,49.6,Compost
rice,6.01,101.4,28.8,21.4,56.9,MOP
sugarcane,6.59,119.2,41.3,35.1,51.4,NPK
rice,6.2,20.7,11.4,40.3,64.0,DAP
wheat,5.52,52.5,44.2,67.8,57.4,Compost
maize,5.91,10.0,37.2,18.8,59.9,NPK
cotton,4.93,86.3,20.6,34.3,65.5,Compost
wheat,7.31,149.9,58.0,57.3,61.1,NPK
sugarcane,7.66,107.0,15.8,8.0,35.4,MOP
sugarcane,5.73,88.3,59.5,26.0,73.7,MOP
rice,7.31,31.7,52.9,35.4,59.3,Urea
wheat,7.65,111.2,61.8,57.1,34.2,NPK
cotton,6.92,22.9,67.5,41.8,15.0,Compost
cotton,5.65,10.0,18.0,83.2,81.8,DAP
rice,6.48,102.4,56.1,52.7,72.2,NPK
rice,6.24,100.2,42.5,100.1,54.3,NPK
rice,5.97,58.2,43.3,8.0,60.8,MOP
maize,6.69,165.2,38.3,54.9,56.5,NPK
maize,6.61,34.3,55.3,57.5,56.3,NPK
maize,5.91,187.7,57.7,52.6,53.8,NPK
cotton,7.64,89.8,55.1,55.7,74.1,NPK
sugarcane,5.54,87.2,36.6,71.2,58.3,Compost
wheat,7.3,57.5,67.9,69.5,52.9,NPK
rice,5.77,59.3,46.9,81.1,60.8,NPK
sugarcane,7.48,200.0,52.8,44.0,59.2,NPK
wheat,5.57,110.9,43.7,8.0,58.6,Compost
sugarcane,5.98,96.7,61.1,17.0,55.9,MOP
wheat,7.07,73.8,10.5,45.4,60.9,MOP
sugarcane,7.42,91.3,32.5,79.2,31.5,NPK
cotton,7.11,52.9,40.7,35.0,64.3,NPK
maize,5.97,111.7,13.8,20.7,74.8,Urea
cotton,6.15,10.0,62.9,71.9,41.4,Urea
cotton,6.27,60.4,37.6,37.2,35.5,NPK
wheat,6.39,94.4,48.3,42.5,43.5,NPK
sugarcane,6.09,175.2,38.5,99.0,51.0,NPK
wheat,7.52,120.5,60.5,53.5,50.7,NPK
maize,6.17,109.4,65.9,74.0,58.4,NPK
wheat,6.83,163.9,57.3,73.1,34.9,DAP
cotton,4.94,63.4,51.5,69.0,68.8,Compost
maize,7.24,50.9,54.9,61.3,37.3,Urea
rice,6.59,40.0,58.0,61.0,48.9,Urea
sugarcane,5.52,79.4,5.0,87.7,24.6,Compost
rice,7.41,85.7,27.0,45.2,64.6,NPK
wheat,5.43,54.3,54.6,45.5,26.9,Compost
sugarcane,5.57,130.8,32.7,33.8,58.5,Compost
wheat,6.85,131.3,60.9,36.8,78.3,NPK
sugarcane,7.01,136.6,45.3,8.6,85.7,MOP
wheat,5.45,106.9,30.9,19.4,20.9,Compost
cotton,7.64,72.8,5.0,32.8,45.7,NPK
cotton,7.11,161.0,58.8,68.9,52.7,NPK
maize,7.09,83.3,14.4,39.8,50.8,DAP
wheat,6.21,127.2,50.9,39.0,25.5,NPK
wheat,5.8,80.5,57.9,51.2,48.5,NPK
sugarcane,5.43,48.1,20.6,49.2,74.3,Compost
rice,6.94,99.5,93.9,47.5,24.8,Compost
sugarcane,6.97,111.0,23.7,51.6,46.7,DAP
maize,6.16,78.6,51.9,99.0,51.7,NPK
sugarcane,8.76,53.0,26.9,29.1,51.8,Compost
cotton,6.58,87.9,48.3,64.9,74.9,NPK
sugarcane,5.29,85.2,39.5,50.2,49.7,Compost
sugarcane,4.69,63.6,25.9,45.3,67.0,Compost
rice,8.32,130.2,28.5,74.9,29.0,Compost
rice,6.72,69.2,46.9,20.2,59.0,MOP
rice,6.71,164.0,38.7,46.9,52.0,NPK
maize,5.33,47.9,31.6,8.0,75.7,Compost
rice,6.11,70.3,8.7,80.5,52.7,DAP
sugarcane,6.06,90.6,24.0,66.7,25.0,Compost
cotton,4.6,141.4,8.0,61.2,46.3,Compost
cotton,7.34,96.7,39.8,38.7,47.0,NPK
sugarcane,6.82,62.3,30.1,64.9,44.3,NPK
wheat,7.3,200.0,62.8,27.4,30.1,MOP
sugarcane,7.46,148.4,64.0,53.0,24.0,Compost
rice,6.18,37.1,62.3,31.8,54.5,NPK
cotton,7.2,68.4,47.5,69.4,57.9,NPK
wheat,6.34,123.4,20.6,80.3,41.9,DAP
rice,7.98,118.6,47.8,58.8,62.6,NPK
sugarcane,6.23,159.0,31.8,33.9,53.4,NPK
rice,6.42,55.8,60.0,45.5,41.2,NPK
maize,5.58,80.5,52.2,63.5,70.9,Compost
maize,6.69,126.0,5.0,62.0,32.1,DAP
maize,6.28,109.5,37.7,88.7,57.8,NPK
rice,7.44,158.3,15.7,86.3,77.9,DAP
rice,5.45,128.7,40.9,41.4,78.0,Compost
sugarcane,6.14,147.9,42.7,37.2,46.3,NPK
wheat,8.39,84.4,19.9,46.6,53.0,NPK
rice,6.97,33.3,51.3,8.0,58.4,NPK
sugarcane,7.81,10.0,14.0,73.8,74.6,DAP
rice,5.87,147.7,69.7,76.2,53.2,NPK
cotton,5.95,69.1,27.8,66.6,43.6,NPK
maize,5.71,135.5,68.2,8.9,65.1,MOP
maize,6.46,121.6,82.0,34.7,39.5,NPK
rice,5.99,23.9,5.0,85.7,60.2,DAP
maize,6.69,110.5,42.6,33.1,68.5,NPK
rice,6.56,165.7,24.0,57.8,49.4,DAP
maize,6.3,28.5,53.3,8.0,39.8,NPK
rice,7.19,66.5,23.6,25.4,46.0,MOP
maize,5.89,71.3,16.5,42.9,44.8,DAP
sugarcane,7.26,95.6,5.2,37.1,45.5,DAP
cotton,6.4,118.6,24.0,25.2,70.8,MOP
sugarcane,7.92,50.4,67.7,41.5,55.7,Urea
wheat,6.24,52.0,20.4,51.4,46.6,DAP
sugarcane,7.7,112.0,24.2,61.3,57.4,DAP
sugarcane,7.53,98.7,34.6,19.0,15.0,Compost
maize,5.34,139.0,63.6,14.7,39.4,Compost
sugarcane,6.48,76.6,30.2,83.7,43.7,NPK
maize,5.81,10.0,39.2,87.8,36.2,DAP
wheat,6.7,10.0,24.1,17.3,51.3,NPK
rice,8.36,67.8,40.8,20.2,83.6,Compost
maize,7.89,74.2,21.9,34.1,48.8,NPK
sugarcane,6.99,100.0,30.7,67.0,37.8,NPK
cotton,6.13,54.6,38.4,30.3,59.5,NPK
maize,6.9,163.6,62.1,59.6,43.4,NPK
maize,7.62,85.3,57.4,20.8,26.2,MOP
wheat,5.79,61.6,53.3,49.9,49.0,NPK
sugarcane,5.58,10.0,5.0,84.0,35.2,Compost
sugarcane,6.46,88.8,43.0,31.0,15.0,Compost
sugarcane,6.22,92.6,46.5,23.0,22.9,Compost
cotton,6.0,83.2,57.8,44.9,53.3,NPK
wheat,5.66,83.2,31.4,23.3,43.0,MOP
maize,6.0,37.3,21.8,70.0,59.0,DAP
rice,6.07,130.8,54.6,41.2,74.6,NPK
sugarcane,6.1,113.4,33.2,8.0,15.0,Compost
sugarcane,6.28,84.8,46.1,48.3,39.6,NPK
wheat,6.98,124.1,36.7,42.2,40.7,NPK
sugarcane,5.85,111.6,31.9,61.7,39.0,NPK
wheat,6.13,88.9,57.7,59.6,73.0,NPK
cotton,6.64,99.3,27.1,52.6,50.1,NPK
sugarcane,6.77,10.0,49.4,45.2,45.6,Urea
sugarcane,6.77,44.9,40.1,65.3,54.8,Urea
wheat,6.41,71.1,37.6,85.4,42.4,NPK
sugarcane,4.87,122.9,60.2,73.1,53.8,Compost
maize,4.89,67.9,5.0,31.5,67.3,Compost
sugarcane,5.67,79.5,48.6,8.0,51.8,MOP
cotton,5.94,110.9,38.4,45.6,93.3,NPK
maize,6.66,130.0,32.0,38.2,36.2,NPK
wheat,4.98,88.1,50.1,63.4,39.0,Compost
maize,7.04,124.9,39.3,48.0,62.9,NPK
cotton,6.86,40.3,25.5,53.6,50.4,NPK
wheat,4.92,16.9,22.4,70.4,49.1,Compost
cotton,8.02,22.9,31.7,39.8,39.9,Compost
cotton,5.85,127.7,29.7,58.6,64.4,NPK
wheat,7.66,173.4,30.6,72.3,33.6,NPK
rice,5.72,65.4,58.2,24.4,45.4,MOP
maize,6.94,79.3,71.0,10.9,55.0,MOP
sugarcane,5.66,66.9,49.7,30.7,43.2,NPK
rice,5.84,81.2,36.6,61.9,65.9,NPK
sugarcane,6.08,48.4,17.1,33.1,74.3,NPK
wheat,7.17,43.2,33.9,19.9,34.4,NPK
rice,6.88,42.5,36.4,21.6,28.6,NPK
rice,6.43,10.0,22.6,40.7,61.3,DAP
sugarcane,6.13,60.9,24.8,51.1,60.1,DAP
maize,7.01,186.2,36.3,59.8,67.3,NPK
maize,6.73,158.5,69.7,49.8,59.2,NPK
maize,4.78,104.0,56.8,54.1,35.4,Compost
cotton,6.67,129.2,6.5,43.4,70.4,DAP
sugarcane,6.28,48.4,58.8,25.9,48.8,NPK
sugarcane,5.59,57.4,41.9,40.3,20.8,Compost
sugarcane,5.84,61.1,15.5,56.1,63.7,DAP
sugarcane,6.49,33.5,21.2,38.6,59.7,DAP
wheat,5.19,80.2,11.4,94.8,46.3,Compost
wheat,7.55,107.0,55.2,81.3,21.0,Compost
rice,5.87,51.8,83.2,34.2,42.9,NPK
wheat,6.93,173.0,34.9,48.0,57.8,NPK
wheat,6.06,25.0,27.4,42.0,61.6,NPK
rice,6.34,158.8,51.8,59.2,41.3,NPK
maize,5.98,113.2,18.5,8.0,60.4,MOP
rice,6.32,89.1,52.9,56.1,53.4,NPK
rice,5.58,83.0,35.0,26.5,55.6,Compost
rice,5.6,71.3,56.6,22.9,89.0,Compost
sugarcane,5.45,200.0,56.5,36.3,54.2,Compost
cotton,7.06,73.2,57.0,110.0,42.3,NPK
rice,7.47,52.2,42.1,27.5,62.1,MOP
sugarcane,8.22,19.9,24.9,43.8,33.7,Compost
sugarcane,6.97,94.7,34.9,68.5,54.7,NPK
wheat,6.11,127.1,30.9,31.2,95.0,NPK
rice,6.17,65.2,59.6,8.0,20.7,Compost
wheat,6.57,121.2,18.3,17.6,53.0,MOP
sugarcane,5.96,59.1,59.4,62.8,32.6,NPK
rice,8.06,63.3,41.0,47.7,42.9,Compost
maize,5.67,136.5,71.1,75.7,46.3,NPK
maize,6.28,95.8,42.4,15.4,72.9,MOP
maize,6.04,139.5,34.7,44.6,35.0,NPK
sugarcane,6.75,160.7,39.3,46.3,36.3,NPK
wheat,6.27,58.2,5.0,20.1,46.8,MOP
wheat,6.2,97.6,61.4,66.5,43.5,Urea
maize,5.2,141.2,44.3,67.6,87.5,Compost
rice,5.52,55.9,60.3,8.0,64.7,Compost
maize,5.47,68.3,31.4,32.9,23.2,Compost
wheat,8.52,82.3,46.7,59.3,50.6,Compost
cotton,6.07,40.6,44.9,48.2,70.1,Urea
rice,6.44,104.4,25.8,43.9,19.7,Compost
cotton,7.46,61.4,40.1,27.7,83.9,MOP
sugarcane,6.24,97.8,44.1,73.6,54.8,NPK
wheat,5.78,107.0,44.4,37.0,37.3,NPK
cotton,6.54,69.0,22.0,62.9,35.1,DAP
wheat,6.23,154.1,8.4,110.0,47.9,DAP
wheat,6.49,36.6,19.5,62.3,58.4,DAP
cotton,6.12,44.9,53.9,110.0,46.1,Urea
rice,7.42,109.4,12.5,64.4,35.0,DAP
wheat,6.45,78.1,10.1,72.6,70.2,DAP
maize,7.14,101.5,13.8,61.9,15.0,Compost
cotton,7.17,87.4,21.1,65.6,69.4,DAP
rice,6.02,112.9,46.3,71.2,29.9,NPK
rice,7.88,20.0,48.7,48.5,59.5,Urea
sugarcane,5.53,22.5,51.0,56.9,44.2,Compost
wheat,5.13,53.8,75.9,36.9,69.1,Compost
rice,5.5,52.1,13.2,38.9,56.5,Compost
sugarcane,8.6,110.5,28.1,38.0,72.2,Compost
cotton,6.16,18.1,56.7,62.1,76.0,Urea
sugarcane,5.97,121.0,34.8,29.9,82.7,MOP
rice,5.81,85.8,5.0,61.1,59.4,DAP
sugarcane,6.43,102.1,81.2,46.1,80.3,NPK
rice,4.93,100.8,5.0,52.5,39.8,Urea
sugarcane,6.75,152.4,31.5,32.1,66.1,NPK
sugarcane,7.94,10.0,16.0,23.2,42.9,NPK
maize,6.18,69.9,31.1,93.3,31.1,NPK
cotton,7.72,45.4,65.2,62.7,64.3,MOP
rice,7.5,142.1,25.3,52.7,40.2,NPK
sugarcane,7.64,45.2,13.3,83.2,76.5,DAP
maize,7.86,96.1,80.2,12.4,42.1,MOP
cotton,7.25,112.9,14.7,8.0,59.3,MOP
rice,6.42,89.3,64.5,30.4,55.2,NPK
cotton,7.03,146.6,37.4,39.8,66.7,NPK
wheat,5.63,113.9,7.6,57.1,31.8,DAP
wheat,7.11,72.6,39.5,39.9,50.4,NPK
maize,7.86,147.4,12.7,82.8,75.9,DAP
wheat,6.66,104.6,55.3,50.0,66.4,NPK
wheat,5.56,102.6,47.4,8.0,54.9,Compost
sugarcane,6.87,107.0,50.1,71.5,51.7,NPK
cotton,7.15,155.6,68.4,29.3,15.0,Compost
maize,5.25,132.9,83.0,46.0,42.3,Compost
rice,6.21,161.1,65.9,16.8,52.6,MOP
rice,6.47,46.6,50.2,79.1,81.0,Urea
rice,6.77,107.1,33.8,8.1,30.0,MOP
maize,6.38,200.0,21.2,31.8,52.4,NPK
rice,6.24,117.9,72.0,55.2,48.3,NPK
cotton,7.68,134.0,65.2,92.0,41.6,NPK
rice,6.55,13.7,5.2,49.0,40.0,DAP
wheat,5.72,66.9,37.5,29.5,79.3,MOP
maize,7.18,87.9,98.1,39.7,53.3,NPK
sugarcane,7.24,143.4,75.2,64.4,53.2,NPK
cotton,7.23,76.8,52.3,91.1,55.5,NPK
rice,4.86,119.9,14.5,44.2,56.2,Compost
wheat,5.39,142.1,63.3,25.4,32.0,Compost
maize,7.15,10.0,31.8,62.5,40.8,Compost
rice,7.06,45.5,47.5,30.3,72.0,NPK
cotton,6.34,16.1,39.7,23.1,20.3,Compost
maize,6.13,111.8,36.1,15.5,45.9,MOP
