crop_type,temperature_c,humidity_pct,rainfall_mm,leaf_wetness_hours,prior_disease_history,risk_level
rice,27.5,68.0,28.2,7.4,1,medium
rice,26.8,69.7,120.0,7.2,0,medium
maize,27.6,76.5,21.7,3.3,0,medium
wheat,25.0,54.1,59.5,4.2,0,low
wheat,21.6,99.0,89.2,9.8,1,high
rice,32.3,89.5,36.4,12.8,0,medium
wheat,24.6,53.8,47.3,2.7,0,low
cotton,26.7,66.6,38.8,11.2,0,medium
rice,28.6,74.5,32.4,10.3,0,medium
wheat,25.1,41.5,56.5,9.0,1,medium
maize,19.0,97.2,58.3,16.8,0,medium
rice,36.5,72.9,38.7,5.8,0,low
sugarcane,30.2,99.0,38.3,8.0,1,high
rice,25.6,35.0,147.0,3.3,1,low
wheat,21.1,73.8,327.5,10.4,1,medium
wheat,19.9,73.2,240.2,11.9,0,medium
maize,23.8,70.2,166.9,8.0,0,medium
wheat,15.1,82.6,55.1,4.2,0,low
cotton,17.2,84.5,88.8,8.4,1,medium
cotton,27.5,64.0,52.7,6.7,0,low
sugarcane,23.3,86.8,26.7,10.6,1,medium
sugarcane,28.2,79.3,27.4,8.5,1,medium
maize,26.7,57.6,68.4,6.9,1,medium
wheat,18.4,74.6,92.1,3.5,0,low
cotton,22.0,59.9,62.9,10.0,1,medium
wheat,20.9,61.1,301.5,7.8,0,low
maize,38.2,64.8,197.0,4.8,1,low
wheat,20.5,69.1,48.6,5.2,1,medium
cotton,32.9,85.5,245.1,11.7,0,medium
rice,33.3,68.9,75.4,9.3,1,medium
cotton,23.4,82.0,30.8,4.4,0,low
wheat,30.0,97.9,99.6,9.4,0,medium
rice,25.2,93.4,133.4,12.5,0,medium
rice,29.6,45.5,78.3,2.4,0,low
maize,21.5,59.4,301.4,5.5,1,medium
wheat,12.0,60.4,40.7,6.1,1,low
sugarcane,25.1,52.9,245.4,7.5,0,low
sugarcane,32.6,99.0,400.2,11.2,1,high
cotton,26.7,52.2,578.8,0.6,1,medium
wheat,33.8,55.8,111.6,10.0,0,low
rice,34.4,58.6,32.1,8.5,0,low
maize,21.0,85.7,125.1,6.3,0,medium
rice,21.2,68.6,312.6,3.0,0,medium
rice,33.8,50.9,536.0,6.0,0,low
rice,31.7,97.2,141.4,10.0,1,high
rice,38.2,81.6,100.4,11.8,0,low
cotton,28.1,37.0,33.5,1.5,0,low
rice,39.7,91.8,267.4,10.8,1,high
rice,26.9,65.2,46.6,9.3,0,medium
rice,18.7,73.5,88.5,9.4,0,low
cotton,25.0,81.3,50.3,6.3,0,medium
rice,23.8,53.2,274.6,8.2,0,medium
sugarcane,21.6,69.5,232.3,9.2,0,medium
rice,29.9,64.2,93.6,4.3,0,low
maize,27.3,94.9,140.9,8.6,0,medium
maize,21.5,47.3,29.0,6.7,0,low
wheat,27.0,73.3,46.0,12.4,0,medium
sugarcane,22.9,49.6,95.3,5.3,0,low
rice,30.4,54.1,54.8,8.6,0,low
rice,24.1,88.3,37.5,11.5,0,medium
wheat,34.5,92.3,23.3,11.6,0,medium
sugarcane,29.9,70.4,162.5,12.7,1,high
wheat,14.3,70.3,70.8,7.2,1,low
maize,13.9,77.0,235.6,8.3,1,medium
wheat,38.8,96.4,31.3,9.8,0,medium
maize,25.1,84.8,100.9,6.8,1,medium
cotton,31.5,49.6,137.4,0.0,1,low
rice,31.3,69.1,135.0,13.2,1,medium
rice,30.4,45.9,61.1,6.0,1,low
sugarcane,34.3,99.0,221.8,7.6,0,medium
sugarcane,26.9,70.0,20.5,4.8,1,medium
wheat,24.6,79.7,245.2,8.4,0,medium
wheat,27.9,91.0,74.2,8.9,1,high
maize,32.4,47.9,172.5,1.8,0,low
maize,18.1,74.0,145.6,10.6,0,low
sugarcane,32.7,88.5,600.0,11.5,0,medium
maize,29.6,84.3,242.6,10.1,1,high
maize,29.7,65.8,600.0,9.9,1,medium
cotton,33.3,65.5,115.2,5.8,1,medium
rice,31.5,76.0,29.5,7.9,1,medium
wheat,26.3,62.9,98.8,6.8,0,medium
sugarcane,29.3,75.4,61.5,3.1,0,low
maize,34.4,88.4,45.1,8.2,0,medium
sugarcane,31.0,99.0,383.1,11.1,0,high
cotton,26.6,79.5,74.9,7.1,0,medium
wheat,32.7,98.7,202.3,10.7,1,high
rice,32.1,74.9,210.4,10.9,0,medium
wheat,24.0,63.6,120.5,6.9,0,low
maize,32.8,60.6,175.1,11.5,0,medium
sugarcane,30.7,80.8,586.4,7.9,0,medium
wheat,32.1,98.7,176.2,7.1,1,high
wheat,27.0,67.8,42.1,9.9,0,medium
sugarcane,32.3,93.1,320.4,10.3,1,high
rice,23.8,80.8,55.4,9.7,0,medium
sugarcane,36.5,84.6,338.0,11.1,0,medium
maize,32.3,68.9,87.9,8.3,1,medium
cotton,22.8,87.9,57.5,11.7,0,medium
rice,21.2,94.0,186.0,13.1,0,medium
wheat,17.3,54.2,61.6,11.0,0,low
cotton,33.0,68.4,255.1,9.7,1,medium
sugarcane,22.8,88.4,33.0,10.8,0,medium
maize,29.0,64.4,46.6,9.3,0,low
wheat,29.9,68.1,352.0,7.7,0,medium
sugarcane,33.5,68.3,237.9,10.0,0,medium
cotton,30.5,90.0,52.5,14.8,0,medium
sugarcane,28.9,76.9,372.9,6.5,0,medium
rice,20.5,60.6,238.1,7.4,0,low
rice,21.3,83.6,138.8,5.8,0,medium
maize,26.8,99.0,57.8,10.1,0,high
wheat,16.6,85.1,80.5,13.1,0,medium
maize,27.6,75.6,27.9,7.2,0,low
cotton,25.8,61.9,85.1,1.2,1,medium
cotton,24.9,76.4,88.9,8.5,1,medium
cotton,28.3,72.2,80.1,11.4,0,medium
wheat,28.7,96.8,145.4,10.8,0,medium
maize,29.8,86.0,126.0,10.8,1,high
wheat,29.5,60.8,206.2,6.5,0,medium
cotton,20.7,92.1,178.8,8.8,0,medium
cotton,18.5,96.4,68.1,6.2,1,medium
cotton,22.9,66.3,251.2,9.3,0,medium
sugarcane,24.1,86.3,214.1,9.2,0,medium
sugarcane,22.6,62.9,56.5,7.5,0,low
sugarcane,39.5,99.0,211.2,11.6,0,medium
sugarcane,30.3,84.6,63.9,9.4,0,medium
rice,28.9,80.6,32.5,9.7,0,medium
wheat,27.8,86.9,54.0,7.7,0,medium
sugarcane,33.3,56.1,63.8,5.0,0,low
sugarcane,38.7,79.3,46.1,10.5,0,medium
cotton,19.8,74.6,271.8,13.1,0,medium
rice,33.0,96.8,206.7,14.0,0,high
maize,24.1,82.7,313.8,8.7,1,high
wheat,33.5,65.5,237.2,8.3,1,medium
rice,19.1,68.8,63.4,3.9,1,medium
maize,27.1,89.8,65.1,11.3,0,medium
sugarcane,25.5,71.2,24.2,7.4,0,medium
maize,38.5,99.0,25.4,8.7,1,medium
wheat,34.1,55.5,64.5,6.0,1,medium
rice,30.0,93.4,166.8,9.1,1,high
rice,23.7,59.8,145.8,9.2,0,medium
rice,27.8,50.4,21.4,2.2,0,low
rice,34.3,64.6,36.2,4.9,1,medium
rice,28.7,72.7,23.2,8.4,0,medium
cotton,29.2,99.0,40.2,14.7,0,medium
cotton,24.8,64.5,596.1,5.4,1,medium
maize,27.5,60.7,41.8,7.5,1,medium
wheat,33.8,99.0,156.5,11.8,0,medium
maize,17.7,69.9,93.7,9.0,0,low
wheat,22.9,75.4,112.2,12.4,1,medium
cotton,29.9,77.8,59.6,9.7,1,medium
maize,28.1,93.8,116.1,12.1,0,high
wheat,34.5,77.2,144.1,10.2,1,medium
maize,26.5,57.2,91.4,7.4,0,low
wheat,17.9,98.0,23.0,9.9,1,medium
cotton,28.0,93.8,414.8,11.6,1,high
cotton,30.8,35.0,65.4,0.6,0,low
maize,42.0,76.0,175.5,9.0,0,medium
rice,25.2,62.1,244.8,0.0,0,low
rice,30.5,78.2,399.1,7.6,0,medium
cotton,22.1,75.1,229.7,5.5,0,medium
cotton,25.5,80.0,153.1,9.4,0,medium
wheat,19.7,80.9,43.4,8.3,0,low
maize,19.0,56.2,529.2,8.4,0,low
maize,28.8,60.7,66.9,8.5,0,medium
maize,25.4,73.5,85.6,6.1,0,low
rice,34.2,75.4,148.8,5.9,0,low
wheat,27.2,78.9,30.1,9.3,0,medium
maize,31.3,57.2,101.1,9.1,0,low
sugarcane,22.4,62.9,240.3,6.1,0,medium
sugarcane,28.4,65.7,152.0,5.6,1,medium
sugarcane,31.3,95.5,55.3,14.9,0,medium
maize,28.9,62.2,62.3,5.6,0,low
cotton,27.7,75.5,396.6,7.3,1,high
rice,27.7,69.8,218.3,8.1,0,medium
cotton,20.7,60.3,50.1,3.7,0,low
rice,30.7,89.0,81.4,9.0,0,medium
cotton,33.3,91.2,57.1,9.5,0,medium
maize,36.3,71.0,23.5,4.1,0,low
wheat,19.0,35.0,118.4,4.0,1,low
maize,23.2,79.9,308.3,3.4,1,medium
maize,29.3,62.5,34.5,7.1,1,medium
sugarcane,32.7,76.0,195.4,9.2,1,medium
rice,22.7,58.4,61.9,6.2,1,medium
maize,24.6,77.8,74.6,8.9,0,medium
rice,28.3,66.7,75.5,10.1,1,medium
cotton,22.1,80.2,233.6,10.1,1,high
cotton,26.4,66.0,86.8,7.2,0,medium
maize,25.5,75.2,550.2,9.7,0,medium
rice,24.6,59.7,123.6,0.8,1,medium
rice,33.5,38.9,151.9,7.9,0,low
cotton,32.5,59.5,140.9,9.1,1,medium
rice,37.0,78.4,65.2,9.1,0,low
rice,31.6,55.2,30.4,6.1,0,low
cotton,34.3,76.8,129.9,4.0,0,low
rice,39.5,96.8,51.1,12.1,1,medium
maize,38.3,54.3,104.4,3.9,0,low
maize,23.8,72.8,397.0,10.4,0,medium
maize,18.7,79.4,253.5,8.9,0,medium
wheat,27.2,80.1,71.8,6.6,0,medium
maize,22.9,60.1,60.0,10.8,1,medium
rice,24.4,77.1,21.0,11.2,0,medium
sugarcane,27.8,72.6,232.6,7.9,0,medium
cotton,17.2,65.4,63.0,5.7,1,medium
maize,34.3,67.3,45.5,6.5,1,medium
maize,36.3,52.5,78.1,10.2,0,low
wheat,21.0,80.4,36.0,8.6,0,medium
sugarcane,34.2,70.9,136.4,5.3,0,low
sugarcane,23.5,51.1,138.9,8.9,0,low
wheat,31.3,68.4,302.3,6.0,0,medium
cotton,35.5,60.6,37.5,5.3,1,low
sugarcane,22.8,62.7,46.9,9.7,1,medium
rice,23.7,63.9,138.6,9.5,1,medium
sugarcane,29.5,58.3,158.1,6.6,0,low
maize,23.2,53.1,44.9,6.4,1,medium
cotton,28.1,99.0,26.8,10.3,0,medium
sugarcane,30.2,99.0,64.4,13.1,0,high
wheat,30.5,88.3,84.1,11.5,1,high
wheat,23.4,92.0,82.3,9.6,0,medium
sugarcane,24.3,99.0,31.8,17.1,1,high
wheat,21.4,95.1,54.2,11.6,1,high
wheat,33.3,83.6,381.3,10.0,0,medium
wheat,18.8,90.0,52.7,10.0,1,medium
cotton,34.8,74.8,181.2,9.7,1,medium
maize,28.8,79.8,51.9,2.6,0,low
cotton,22.3,71.2,81.5,7.1,1,medium
rice,28.6,35.0,204.2,0.0,0,low
wheat,26.4,49.7,600.0,4.8,1,medium
cotton,25.5,96.9,69.5,8.7,1,high
cotton,16.3,55.5,269.4,7.5,1,medium
sugarcane,24.5,58.3,101.6,8.7,0,medium
maize,24.5,99.0,144.2,10.8,0,medium
wheat,27.8,99.0,21.8,9.8,1,high
maize,27.7,70.1,82.9,8.9,0,medium
rice,12.0,72.0,142.1,6.4,0,low
sugarcane,37.9,72.9,281.3,3.7,0,low
maize,30.0,85.2,238.4,5.7,1,high
cotton,18.7,79.4,63.5,8.0,1,medium
cotton,28.5,41.4,53.1,5.5,1,medium
rice,20.7,80.0,315.7,6.1,0,medium
rice,20.3,69.5,242.9,9.5,1,medium
maize,32.0,67.6,114.0,4.0,0,low
cotton,20.7,97.2,342.0,7.2,0,medium
cotton,30.5,83.3,209.9,9.9,0,medium
sugarcane,28.3,66.0,110.6,7.8,0,low
cotton,28.5,68.4,69.1,13.2,0,medium
cotton,27.3,42.0,33.1,5.5,1,medium
maize,29.6,78.7,76.0,8.4,0,medium
maize,28.5,71.1,100.5,4.7,0,medium
wheat,31.1,62.4,34.4,5.9,0,low
sugarcane,23.3,86.3,134.4,4.4,1,medium
wheat,19.2,92.4,280.7,11.3,1,high
rice,22.9,91.6,270.5,9.1,1,high
rice,35.7,54.0,149.8,8.4,0,low
cotton,28.8,52.6,26.3,6.1,0,low
wheat,24.9,70.5,156.0,7.8,0,medium
rice,26.4,66.4,85.1,6.3,0,medium
cotton,24.8,65.0,76.8,10.2,0,medium
maize,23.1,60.9,428.0,7.7,0,medium
sugarcane,34.3,50.3,125.6,3.3,1,low
rice,34.1,99.0,67.3,12.5,0,medium
wheat,30.3,54.1,35.1,7.5,0,low
sugarcane,33.4,61.2,97.0,5.1,1,medium
wheat,26.9,47.2,117.4,4.6,0,low
wheat,27.9,43.3,92.5,8.1,0,low
sugarcane,27.7,60.0,22.4,6.3,1,medium
sugarcane,33.1,76.3,196.9,9.1,1,medium
cotton,24.8,80.8,58.6,14.4,0,medium
maize,29.7,72.4,81.3,4.4,0,medium
cotton,15.5,75.3,372.3,10.0,1,medium
maize,23.6,77.9,236.2,6.7,0,medium
cotton,12.0,63.4,543.1,7.2,1,medium
sugarcane,27.2,59.9,266.9,7.0,1,medium
sugarcane,32.7,79.1,24.0,9.8,0,low
cotton,30.9,55.7,34.0,6.0,0,low
cotton,18.5,90.3,46.1,16.2,0,medium
cotton,30.0,58.5,54.0,6.9,1,medium
wheat,20.4,64.5,143.9,5.7,0,medium
sugarcane,29.3,74.8,44.8,5.7,1,medium
cotton,24.7,49.5,24.1,3.7,1,low
cotton,18.9,80.3,114.0,4.3,0,low
wheat,28.3,85.7,44.3,8.1,0,medium
cotton,21.7,99.0,37.5,5.6,0,medium
maize,33.7,59.1,47.1,15.6,0,medium
wheat,28.1,59.7,100.3,10.7,0,medium
maize,26.4,82.0,49.4,5.8,0,medium
wheat,19.1,52.6,362.3,3.9,1,medium
wheat,41.1,99.0,147.4,14.9,0,medium
cotton,32.4,80.2,141.5,12.4,0,medium
wheat,29.2,84.7,25.6,2.8,0,low
maize,26.3,91.4,143.6,11.4,1,high
maize,38.8,56.7,413.3,3.2,1,low
sugarcane,25.5,88.9,91.8,2.7,0,low
sugarcane,34.3,81.2,81.6,2.9,0,low
maize,31.9,61.9,50.5,3.4,0,low
rice,34.4,66.7,105.2,7.7,0,low
cotton,37.5,80.1,43.6,12.5,0,low
wheat,28.6,89.0,98.4,8.1,0,medium
maize,35.6,75.7,158.8,11.3,0,medium
rice,22.0,36.9,153.6,3.8,1,medium
sugarcane,39.9,79.7,228.2,6.1,0,low
wheat,23.2,99.0,357.4,8.0,0,high
cotton,35.9,81.4,30.6,9.5,1,medium
cotton,23.1,81.2,370.2,7.6,1,high
cotton,30.8,99.0,312.9,8.5,1,high
cotton,19.6,65.9,183.2,0.0,1,medium
wheat,12.8,74.4,70.8,6.5,1,low
maize,25.5,75.1,62.4,11.7,0,medium
wheat,24.0,56.2,102.2,8.9,0,low
sugarcane,27.1,69.5,221.8,5.1,1,medium
sugarcane,27.2,91.7,104.9,10.0,0,high
maize,29.4,73.1,72.2,6.1,0,low
maize,23.1,64.2,38.2,6.5,0,low
wheat,20.9,91.3,169.7,13.5,0,high
cotton,20.3,57.8,97.7,6.4,0,low
sugarcane,23.4,68.9,107.8,2.6,0,low
rice,38.5,93.9,22.6,12.3,0,medium
sugarcane,13.5,70.3,147.3,8.8,1,medium
wheat,20.9,65.9,21.8,8.7,1,medium
maize,21.8,70.4,278.6,13.6,0,medium
maize,30.6,80.7,25.0,14.6,0,medium
wheat,23.4,79.8,43.4,7.9,1,medium
wheat,23.4,76.4,101.6,10.3,0,medium
wheat,32.9,50.9,224.4,0.1,0,low
sugarcane,29.8,70.2,120.7,6.8,0,low
cotton,37.0,56.2,126.7,9.3,0,low
rice,23.2,76.0,85.1,15.6,0,medium
sugarcane,28.8,89.9,229.3,4.4,0,medium
sugarcane,27.1,80.5,108.0,4.2,1,medium
rice,25.1,72.0,94.8,9.3,0,medium
maize,18.3,48.9,148.7,8.4,0,low
wheat,31.8,80.2,25.5,7.0,1,medium
cotton,33.7,83.6,208.8,7.6,1,medium
maize,33.6,80.8,133.5,12.4,0,medium
wheat,30.5,62.5,228.6,7.8,0,medium
wheat,28.3,70.9,316.2,6.4,0,medium
rice,23.5,99.0,31.0,3.3,0,medium
wheat,12.0,74.5,224.8,3.4,1,medium
maize,29.4,74.2,118.1,8.1,0,medium
maize,26.5,70.7,62.0,7.8,0,medium
cotton,28.9,84.2,110.4,7.3,0,medium
rice,27.6,85.8,232.3,8.4,1,high
sugarcane,24.4,99.0,85.1,12.7,0,high
sugarcane,32.3,60.0,131.9,4.6,1,medium
rice,22.9,68.5,26.7,8.8,0,medium
cotton,29.8,75.6,600.0,4.9,0,medium
maize,14.1,67.6,144.7,2.7,0,low
rice,30.1,47.8,42.1,8.4,1,low
sugarcane,26.9,50.0,110.9,8.1,0,low
wheat,29.7,75.3,24.6,5.6,1,medium
rice,18.6,47.4,89.1,9.1,0,low
cotton,20.9,76.4,112.6,8.5,1,medium
cotton,29.9,48.6,121.1,6.5,0,low
sugarcane,33.7,97.3,171.6,9.2,0,medium
sugarcane,33.9,47.0,39.0,11.3,0,low
maize,23.9,99.0,121.8,16.3,0,high
maize,28.6,99.0,270.9,9.0,1,high
wheat,35.0,86.6,444.2,7.5,0,medium
sugarcane,15.0,47.8,128.0,5.1,1,low
rice,31.0,53.0,494.8,7.9,1,medium
wheat,30.5,99.0,121.4,12.7,0,high
wheat,20.9,98.3,56.2,12.9,0,medium
sugarcane,18.5,71.6,247.4,3.1,1,medium
sugarcane,26.5,45.8,79.2,3.1,0,low
sugarcane,26.0,76.7,56.1,14.4,1,high
sugarcane,24.4,82.4,152.2,8.7,0,medium
maize,12.0,76.8,86.9,5.5,1,medium
wheat,28.7,66.7,149.1,3.1,0,low
cotton,22.9,87.2,358.6,11.9,0,high
maize,30.2,69.5,289.4,6.4,0,medium
rice,32.0,45.5,122.0,5.3,0,low
wheat,23.0,86.7,55.5,8.0,0,medium
cotton,41.2,99.0,85.9,11.9,0,medium
cotton,22.9,98.9,50.2,11.2,0,medium
cotton,30.1,65.0,179.3,2.6,0,low
maize,23.2,46.9,209.9,6.2,0,low
cotton,26.5,79.4,128.3,10.3,0,medium
cotton,24.3,78.3,65.1,10.2,0,medium
sugarcane,12.0,77.3,64.2,14.0,1,medium
sugarcane,27.1,95.9,124.2,11.3,0,high
sugarcane,18.2,77.1,83.4,8.8,1,medium
cotton,25.6,78.7,324.6,7.8,0,medium
rice,20.4,77.9,132.9,9.6,0,medium
rice,24.5,70.9,22.0,6.5,1,medium
wheat,25.4,80.9,122.7,9.8,1,high
sugarcane,31.5,88.0,179.4,10.1,0,medium
maize,35.2,99.0,45.1,16.7,1,high
rice,35.0,83.3,39.4,11.2,0,low
wheat,31.1,91.7,92.3,11.7,0,medium
sugarcane,34.3,46.8,27.4,1.4,0,low
cotton,27.4,91.1,307.1,14.6,1,high
wheat,31.0,65.7,29.8,2.6,0,low
rice,23.6,71.8,202.8,8.1,1,medium
rice,24.2,69.2,51.0,3.8,1,medium
wheat,27.0,49.5,200.3,3.2,1,medium
cotton,23.8,73.3,87.0,1.5,0,medium
cotton,33.3,82.6,112.9,11.7,0,medium
cotton,28.8,66.0,259.5,9.9,1,high
maize,25.1,90.9,64.6,10.3,0,medium
maize,35.9,49.3,504.0,3.2,1,medium
rice,27.9,78.2,92.7,8.5,1,high
rice,23.1,64.0,355.5,10.6,0,medium
sugarcane,25.2,77.7,124.2,9.7,0,medium
wheat,31.4,83.2,147.7,12.0,0,medium
maize,27.0,85.3,127.4,10.1,0,medium
cotton,26.1,67.5,75.9,4.7,0,low
cotton,27.3,71.1,225.4,0.0,0,medium
wheat,29.8,72.5,26.5,12.6,1,medium
sugarcane,30.1,99.0,193.9,8.1,1,high
sugarcane,23.3,56.5,230.3,9.7,1,medium
cotton,30.5,58.0,68.9,6.1,0,low
sugarcane,18.7,72.4,98.1,11.0,0,medium
wheat,28.6,59.9,29.2,4.6,1,medium
maize,31.0,88.4,187.7,9.4,1,high
sugarcane,34.5,76.0,273.6,11.9,0,medium
cotton,24.3,58.2,33.4,9.1,0,low
sugarcane,27.8,48.0,40.1,0.1,0,low
wheat,40.0,53.2,422.4,7.3,1,medium
maize,23.5,83.8,100.0,14.6,0,medium
sugarcane,27.4,66.7,73.8,5.7,0,medium
sugarcane,23.7,72.7,183.8,9.3,1,medium
wheat,29.0,41.8,92.0,6.0,1,medium
rice,29.5,78.3,33.5,8.4,1,medium
maize,37.6,77.1,144.6,13.6,0,medium
rice,25.7,67.8,189.5,10.4,1,high
sugarcane,15.2,71.6,92.3,5.1,0,low
cotton,16.7,83.4,77.1,7.5,1,medium
cotton,25.9,69.2,124.9,7.9,1,medium
wheat,19.9,99.0,600.0,7.9,0,medium
sugarcane,30.9,96.7,20.2,4.9,1,medium
rice,24.8,57.1,43.7,1.5,0,low
rice,29.6,71.5,47.7,8.2,0,medium
wheat,35.7,70.3,196.1,6.5,0,low
wheat,26.6,79.5,59.8,11.4,1,high
cotton,23.6,73.2,23.4,9.4,0,medium
sugarcane,27.6,90.9,153.0,10.5,0,medium
cotton,22.7,50.2,104.6,2.7,0,low
sugarcane,38.6,91.4,316.0,9.1,1,high
rice,24.2,86.5,508.0,14.1,0,high
sugarcane,23.8,84.6,370.8,4.2,0,medium
wheat,24.5,60.5,600.0,8.2,0,medium
sugarcane,20.6,82.2,83.4,11.2,1,medium
cotton,24.8,52.2,66.4,2.4,0,low
maize,19.7,79.5,77.2,7.2,0,low
wheat,25.2,62.7,60.3,9.5,0,low
wheat,27.7,77.4,249.2,8.2,1,high
sugarcane,23.3,73.2,134.9,0.0,0,low
rice,19.5,75.9,327.1,1.0,1,medium
wheat,28.0,95.0,304.5,14.0,1,high
maize,31.2,79.8,600.0,4.6,0,medium
wheat,29.2,62.1,170.9,5.6,0,medium
wheat,25.1,68.3,20.4,7.0,0,low
cotton,13.4,74.4,237.9,5.7,0,low
wheat,31.0,65.1,282.3,9.2,1,high
wheat,36.3,55.0,37.2,0.0,1,low
sugarcane,23.7,90.5,92.2,13.4,1,high
rice,37.9,35.0,35.5,5.2,1,low
wheat,20.1,71.5,29.4,11.5,1,medium
rice,34.8,81.2,375.4,11.6,0,medium
rice,30.6,99.0,110.3,12.2,1,high
cotton,28.2,91.3,139.3,3.5,0,medium
cotton,34.8,86.9,534.0,8.7,0,medium
sugarcane,26.3,99.0,137.2,18.8,1,high
rice,22.9,67.4,209.3,6.7,0,medium
cotton,39.1,74.0,90.1,6.4,0,low
wheat,25.1,99.0,78.5,19.1,0,high
maize,36.1,56.9,32.7,5.6,0,low
cotton,27.5,66.1,132.7,9.2,0,medium
wheat,30.0,73.3,35.3,8.1,0,low
wheat,33.7,58.0,27.0,6.5,0,low
cotton,31.2,45.1,241.9,4.7,1,medium
rice,27.9,50.5,38.6,3.6,1,low
cotton,29.2,64.4,329.9,2.7,0,medium
maize,25.1,68.2,80.6,14.1,0,medium
cotton,18.8,86.3,80.0,9.8,0,medium
sugarcane,18.7,84.0,56.7,7.7,0,low
sugarcane,30.8,81.0,21.4,12.3,1,high
maize,25.8,63.1,62.5,6.1,0,low
wheat,30.0,77.4,28.5,3.4,1,medium
wheat,29.8,77.3,26.1,9.2,0,medium
wheat,32.8,62.9,59.8,8.9,0,low
rice,40.3,79.2,350.7,5.9,0,low
rice,28.3,72.6,60.9,13.0,0,medium
rice,22.6,76.6,324.1,6.5,1,medium
cotton,22.5,62.0,151.5,2.6,0,low
maize,35.6,79.3,57.0,5.6,0,low
rice,17.3,48.8,39.8,3.5,1,low
sugarcane,35.5,71.7,168.1,10.0,0,low
wheat,29.1,80.4,138.2,16.6,0,medium
rice,34.0,56.2,132.8,4.7,0,low
sugarcane,21.2,46.7,86.3,3.5,0,low
wheat,30.4,64.2,149.5,3.9,1,medium
cotton,31.4,56.2,82.5,6.3,0,low
sugarcane,35.0,61.0,80.2,3.6,1,low
sugarcane,29.6,67.4,242.2,10.3,0,medium
wheat,27.9,97.0,110.7,10.3,0,high
rice,23.1,55.8,124.3,4.3,1,low
maize,23.3,75.0,189.3,14.1,0,medium
cotton,34.8,57.8,102.3,4.5,0,low
sugarcane,24.1,37.1,36.8,8.2,0,low
rice,28.7,64.3,101.7,1.6,0,low
maize,31.1,63.3,106.2,8.1,1,medium
wheat,32.3,68.4,116.4,8.9,0,low
rice,32.6,82.7,65.6,11.2,0,medium
rice,34.3,68.2,290.8,6.3,1,medium
sugarcane,22.4,84.7,420.8,6.2,0,medium
sugarcane,32.9,67.8,65.3,7.7,0,low
sugarcane,28.7,64.6,113.6,7.4,0,medium
rice,18.6,81.1,175.1,6.5,0,medium
wheat,31.0,45.5,37.0,3.9,1,low
wheat,25.1,89.5,181.0,9.0,0,medium
sugarcane,30.5,65.6,73.1,6.9,1,medium
rice,21.6,56.8,37.6,6.7,0,low
sugarcane,29.5,78.5,222.8,10.2,0,medium
rice,31.4,63.9,49.1,4.9,1,low
sugarcane,27.2,70.2,380.4,11.0,0,medium
wheat,25.5,84.5,69.3,10.8,1,high
sugarcane,16.8,72.4,219.3,13.3,1,medium
cotton,28.1,78.2,46.5,9.8,0,medium
cotton,33.8,63.2,138.6,6.2,0,low
maize,22.0,72.7,64.6,7.4,0,low
cotton,17.0,81.5,140.3,9.0,0,medium
maize,30.2,89.3,77.3,7.1,0,medium
cotton,33.2,74.0,268.8,6.1,1,medium
sugarcane,25.8,91.6,205.0,12.9,1,high
rice,27.0,68.7,51.9,12.3,1,medium
sugarcane,30.3,51.8,82.4,6.0,0,low
rice,40.7,44.0,197.0,5.4,0,low
sugarcane,28.5,56.8,69.2,5.5,0,low
sugarcane,22.0,66.5,153.5,5.8,0,low
wheat,25.9,84.0,213.9,9.9,1,high
wheat,41.3,51.9,220.3,5.9,0,low
sugarcane,26.0,70.1,217.1,3.8,0,medium
maize,27.6,75.7,31.8,10.3,0,medium
sugarcane,23.8,68.0,151.0,10.5,0,medium
sugarcane,25.6,79.6,49.7,9.2,1,high
rice,23.2,67.1,37.6,9.0,0,low
maize,25.1,67.5,286.1,2.3,0,medium
wheat,31.0,62.2,83.5,6.0,0,low
wheat,25.0,61.8,131.9,6.4,0,low
cotton,17.0,73.4,26.8,2.5,0,low
rice,30.0,67.9,30.0,8.2,0,low
wheat,26.8,65.4,92.5,2.2,0,low
maize,18.0,37.6,124.1,2.9,0,low
rice,20.6,92.4,61.1,9.8,0,medium
sugarcane,18.9,75.0,120.1,12.0,0,medium
rice,36.3,71.1,158.4,15.0,0,medium
rice,25.9,90.2,76.7,7.2,0,medium
maize,30.7,99.0,116.3,11.5,0,high
sugarcane,28.3,72.2,133.2,4.7,0,medium
rice,21.1,98.2,24.5,15.4,0,medium
sugarcane,25.1,71.4,137.2,5.6,1,medium
sugarcane,24.0,83.5,308.9,8.3,0,medium
wheat,23.8,64.1,177.9,6.2,0,low
maize,24.5,51.3,101.1,3.3,0,low
rice,35.4,79.3,134.3,10.0,0,low
sugarcane,25.5,60.5,20.0,2.7,0,low
cotton,28.3,89.0,111.0,14.0,1,high
rice,29.0,79.2,225.4,5.5,0,medium
rice,29.7,57.2,370.3,6.5,0,medium
sugarcane,26.3,73.8,354.6,7.2,0,medium
wheat,35.0,84.7,83.5,6.8,0,medium
wheat,25.6,79.8,66.5,10.2,0,medium
maize,30.5,82.9,252.3,8.3,1,high
wheat,27.9,99.0,62.1,8.4,0,medium
sugarcane,32.3,57.9,38.0,8.5,0,low
wheat,26.9,83.5,240.3,14.1,1,high
cotton,22.3,83.2,31.2,12.5,0,medium
