crop_type,soil_ph,rainfall_mm,temperature_c,humidity_pct,nitrogen,phosphorus,potassium,yield_kg_per_hectare
maize,6.19,848.3,28.5,60.3,40.5,34.0,68.5,3275.68
sugarcane,6.85,1595.5,30.5,92.7,127.6,78.2,42.0,70227.85
sugarcane,6.18,1577.7,29.2,58.3,69.6,13.5,47.2,41407.6
cotton,5.36,809.8,25.2,78.4,65.8,25.3,72.2,1299.08
wheat,6.7,414.6,21.9,97.1,118.6,10.0,79.8,2792.24
sugarcane,6.31,1649.5,40.1,59.4,56.3,11.2,69.3,32751.18
sugarcane,5.43,1301.1,33.2,98.0,103.1,15.1,26.9,34756.89
cotton,7.06,769.3,29.3,98.0,105.2,39.9,68.7,2104.07
wheat,7.56,633.4,21.1,54.2,80.4,67.5,70.6,3363.88
wheat,6.38,547.3,19.3,63.5,112.7,40.1,83.9,3088.13
maize,7.42,826.4,31.0,62.1,69.1,50.8,53.9,3800.52
sugarcane,5.43,1746.4,30.3,78.8,125.4,31.8,59.6,43179.56
sugarcane,6.68,1492.7,35.7,84.2,106.0,49.5,68.1,59600.73
maize,6.43,756.9,22.4,84.4,133.3,79.9,37.4,5152.56
cotton,6.55,791.5,18.9,67.8,120.1,59.1,34.8,1752.77
maize,5.69,636.3,26.1,63.8,131.3,94.8,57.0,4960.07
rice,5.51,1625.9,27.8,65.0,88.0,39.8,83.4,2666.26
rice,5.23,1151.3,22.0,64.4,150.1,44.4,88.2,3572.46
wheat,5.96,589.2,26.9,77.8,146.3,59.8,55.0,3740.19
maize,5.77,817.4,34.3,53.8,97.3,52.5,53.9,3565.21
maize,7.24,636.9,30.1,74.5,109.2,52.9,62.6,4795.96
rice,7.98,1245.1,26.1,52.9,139.3,49.3,61.9,4122.0
maize,7.31,862.4,27.8,65.6,170.5,49.0,44.7,5773.3
cotton,5.92,908.0,26.7,90.3,133.8,42.5,44.6,1862.94
cotton,5.32,812.1,27.4,86.8,110.0,32.0,61.2,1512.16
rice,7.66,1620.4,21.1,54.9,30.4,23.5,42.0,1977.47
wheat,6.55,406.6,25.8,93.3,51.1,26.6,49.4,1974.62
rice,6.68,1145.5,25.5,77.7,105.8,37.7,37.9,3181.82
cotton,6.69,569.2,27.1,79.3,83.0,37.1,50.6,1654.85
cotton,6.94,1010.6,26.5,40.3,59.8,45.2,75.6,1677.08
cotton,6.94,759.8,28.9,66.6,125.3,10.0,68.6,1879.18
wheat,6.97,703.8,23.4,63.0,42.4,60.7,49.1,2612.43
cotton,6.69,597.5,26.9,79.3,99.7,18.9,61.5,1926.29
wheat,6.06,550.8,10.3,46.9,106.1,47.2,50.3,2706.04
wheat,5.7,585.1,20.6,59.4,114.9,73.6,68.9,3345.83
sugarcane,6.0,1677.8,24.3,87.9,98.0,55.4,52.7,49360.93
maize,7.79,1034.6,26.6,82.3,116.1,20.9,46.8,3458.55
maize,5.79,1088.4,28.9,66.9,137.5,65.1,77.1,5627.57
wheat,6.37,428.5,16.8,69.4,71.0,76.9,15.0,2534.58
cotton,6.35,688.2,28.2,74.9,65.0,44.3,57.8,1747.95
rice,6.96,1733.8,31.9,67.3,103.6,38.6,78.6,3722.45
maize,7.44,582.6,35.2,65.5,133.7,71.0,42.9,4915.63
cotton,7.44,719.6,29.5,71.9,115.6,38.4,50.0,1768.31
sugarcane,7.4,2001.7,31.7,60.3,49.4,78.9,50.1,48137.3
maize,6.46,1060.2,18.7,53.3,162.4,78.4,52.9,5017.09
maize,5.62,800.8,30.8,59.3,53.3,52.8,67.3,3918.37
sugarcane,7.08,1860.6,26.6,67.5,91.4,16.8,61.9,54878.22
wheat,6.03,341.7,19.2,72.5,100.5,34.0,41.6,2594.94
maize,7.2,1068.1,28.3,32.8,108.7,45.9,73.7,4816.11
rice,7.42,1371.1,23.6,79.7,81.0,23.9,47.3,2666.24
rice,6.97,791.3,23.6,94.1,84.6,48.6,25.2,2964.93
cotton,5.49,887.2,26.1,79.0,74.0,28.6,68.2,1195.85
sugarcane,8.21,1035.8,36.0,84.1,75.9,63.1,61.7,43265.49
sugarcane,5.33,1153.6,39.0,69.9,116.2,56.5,24.2,36522.62
sugarcane,7.13,1745.2,30.6,73.8,123.4,30.2,65.6,69505.32
rice,6.03,1596.1,27.7,61.7,146.2,19.4,71.4,3794.76
wheat,7.54,466.9,14.0,51.8,109.2,31.9,49.2,2486.22
cotton,6.35,1030.5,31.5,69.2,120.9,52.3,63.7,2021.93
rice,6.7,1341.0,29.0,38.8,115.6,84.8,47.8,4444.17
maize,6.02,733.6,21.6,78.6,143.2,32.3,39.8,4220.71
cotton,7.63,866.4,31.6,62.0,128.9,62.6,30.5,2134.66
sugarcane,8.34,1524.1,36.1,65.9,128.7,60.1,79.4,57709.81
wheat,6.05,499.1,13.8,80.6,92.0,41.2,73.2,2823.27
maize,7.27,801.3,25.6,69.8,65.0,46.9,52.2,3694.62
sugarcane,6.13,1413.8,28.6,34.2,147.7,42.4,15.0,63063.74
sugarcane,6.16,1613.2,33.0,83.0,68.0,10.0,72.2,41306.66
sugarcane,7.45,1672.9,34.4,61.4,149.0,10.0,77.6,56161.55
rice,6.94,1419.9,29.5,64.0,105.8,58.3,55.7,4047.35
rice,6.69,1194.2,25.6,78.9,119.9,48.0,49.8,3950.24
rice,7.48,1137.9,26.6,40.4,113.6,81.8,60.5,4430.35
rice,6.77,843.6,30.0,60.1,60.3,35.7,44.5,3171.31
maize,6.05,636.0,18.9,74.6,45.9,22.9,15.0,2315.51
rice,6.28,1491.3,32.9,51.2,75.6,62.8,53.2,3325.37
sugarcane,6.46,1511.7,37.3,69.0,87.6,29.0,38.0,40487.67
cotton,6.36,901.2,35.4,78.6,101.8,20.5,64.6,1686.51
wheat,5.9,600.4,16.6,69.4,65.7,12.7,47.3,1949.61
sugarcane,6.62,1977.3,31.1,86.1,94.9,87.0,86.4,74233.29
maize,6.33,700.4,27.1,80.1,66.3,25.1,27.0,3439.29
rice,7.47,1344.9,25.6,63.7,88.5,32.2,74.6,3105.2
wheat,7.72,569.4,16.4,76.6,32.9,10.0,61.7,1445.91
sugarcane,7.51,1140.0,29.5,65.9,61.1,55.6,40.5,47976.42
wheat,6.6,524.1,18.5,57.8,121.2,74.8,57.8,4300.18
sugarcane,6.86,1620.0,34.2,45.4,117.3,42.1,108.6,69521.02
maize,6.5,698.1,20.0,67.9,178.4,42.7,69.6,5115.22
sugarcane,5.33,1585.3,23.8,58.7,140.3,56.8,64.1,58963.53
cotton,6.9,733.1,25.5,66.2,168.4,28.0,87.3,2435.94
cotton,6.33,1009.2,22.9,77.2,118.0,28.4,45.6,1593.76
cotton,5.98,317.6,28.3,81.3,74.5,60.3,34.3,1567.32
cotton,6.16,666.0,27.9,66.6,72.6,16.5,63.3,1486.23
cotton,7.07,893.9,32.0,78.7,112.1,52.0,80.0,2053.77
sugarcane,7.31,1296.1,24.4,89.1,150.8,43.4,72.1,66382.03
maize,6.44,648.6,21.4,80.9,128.9,58.2,48.3,5161.48
maize,6.19,658.3,25.6,64.6,149.1,48.4,40.4,5802.82
rice,6.63,1442.2,26.9,73.1,120.9,11.0,95.3,3994.54
sugarcane,7.32,1733.3,31.7,80.4,80.8,55.5,51.9,49434.9
wheat,6.43,850.2,11.8,73.0,60.6,46.6,44.6,2217.03
sugarcane,6.7,771.5,32.7,76.6,97.7,50.3,24.7,47503.32
rice,5.15,1169.9,34.8,73.0,79.8,44.4,55.4,2430.27
sugarcane,6.36,955.6,37.0,66.2,100.2,74.2,69.4,63096.18
rice,6.68,1081.5,33.1,65.0,91.8,16.5,53.8,2879.82
rice,7.5,927.4,33.2,46.3,99.9,52.4,58.7,3908.74
wheat,7.72,646.3,23.4,48.2,69.7,10.0,38.8,1932.63
wheat,6.48,446.7,15.1,70.4,103.6,37.1,56.7,2613.56
rice,5.94,1258.7,33.8,45.1,118.2,35.3,57.5,3652.74
cotton,6.28,737.6,21.8,70.3,75.9,61.8,72.5,1941.67
cotton,5.77,827.6,30.6,58.1,56.2,42.4,46.1,1416.89
sugarcane,5.47,1358.8,35.7,65.3,123.9,52.9,24.8,43299.97
wheat,6.66,446.9,19.2,78.6,103.7,47.9,58.3,3484.19
maize,6.52,783.2,30.9,53.6,130.8,34.4,52.4,4551.55
maize,6.08,653.4,25.5,62.8,59.5,35.6,83.9,4432.48
sugarcane,6.13,1143.6,28.6,87.9,72.1,83.1,38.2,57340.48
cotton,6.07,544.2,34.6,51.7,117.8,64.0,77.1,2190.43
cotton,6.09,911.9,26.9,68.0,147.5,67.9,52.8,2397.39
maize,7.41,757.1,17.3,60.8,172.5,50.3,68.9,5379.33
cotton,7.73,658.4,31.6,73.8,131.9,51.8,44.0,1873.52
cotton,5.3,695.7,33.2,66.6,76.7,34.1,47.1,1137.16
cotton,7.4,618.1,27.9,65.1,96.5,42.3,22.4,1616.02
maize,6.79,673.6,22.6,59.8,93.2,51.5,102.0,4890.06
maize,6.49,890.5,19.2,98.0,141.3,40.4,48.9,4811.15
sugarcane,7.28,1483.0,30.2,44.1,121.4,42.7,66.1,70735.82
sugarcane,6.68,1274.6,33.0,30.0,80.0,24.7,49.9,46622.52
maize,6.04,560.3,28.1,85.2,116.3,52.8,94.1,5743.11
maize,6.38,753.7,24.6,45.0,148.2,61.3,94.8,7690.96
cotton,6.24,638.2,25.6,64.3,80.5,52.0,61.2,1998.8
wheat,6.72,298.0,17.6,83.4,78.5,55.7,38.7,2861.24
maize,4.57,838.7,26.3,74.6,147.0,48.6,87.6,3628.5
cotton,6.54,555.7,32.5,64.0,136.6,39.7,53.8,2160.94
cotton,6.36,630.9,25.4,63.1,97.5,40.6,49.5,1893.84
wheat,6.66,741.4,20.5,89.2,152.1,55.7,47.9,4126.53
rice,6.7,1085.6,26.1,77.6,105.1,66.7,46.2,4132.48
rice,5.54,1227.7,30.9,63.1,119.0,36.2,73.2,3308.21
rice,6.6,1189.3,28.2,82.3,46.3,35.7,37.3,3070.29
cotton,6.0,660.1,23.1,75.0,132.6,22.1,42.6,1583.57
maize,6.07,905.4,23.6,80.6,169.5,37.8,68.6,4985.77
cotton,4.92,931.9,22.1,40.5,114.6,14.2,38.9,897.72
rice,6.83,1819.6,22.1,66.8,110.6,20.8,31.9,2503.3
wheat,5.34,607.8,15.1,65.7,142.4,18.0,67.1,2306.16
cotton,6.82,564.6,29.2,84.7,89.1,82.8,44.5,2142.23
sugarcane,6.6,1762.5,26.8,55.4,100.2,41.4,47.9,65036.84
rice,4.94,1760.5,30.0,57.1,115.5,48.2,41.7,2321.0
rice,5.7,1389.7,32.2,66.2,99.4,27.3,64.3,2408.95
maize,5.97,892.0,20.4,85.1,121.2,42.0,70.3,4695.93
rice,7.53,1580.3,30.2,55.8,91.0,43.7,76.6,3632.78
cotton,7.44,728.1,27.5,84.0,85.7,17.5,51.0,1580.25
wheat,7.0,637.4,15.7,83.4,104.2,36.5,40.8,2819.91
sugarcane,6.9,1249.3,35.4,67.7,110.3,76.1,33.5,63431.22
wheat,6.36,610.0,14.6,71.1,129.3,57.2,16.3,2781.4
wheat,6.74,511.7,14.9,72.7,92.8,36.3,57.5,2732.95
sugarcane,7.49,1530.8,26.4,49.3,55.7,56.9,78.8,61784.99
sugarcane,5.86,1626.4,27.5,63.2,123.4,30.5,32.1,49265.56
sugarcane,6.83,1809.5,36.2,75.6,139.6,54.3,45.8,68961.21
wheat,6.57,509.4,22.5,59.1,85.5,57.3,45.0,3129.29
sugarcane,6.28,1345.4,31.0,90.7,66.7,57.2,64.4,56663.17
maize,6.58,941.4,19.3,63.9,102.4,49.9,28.5,4018.95
cotton,7.06,670.3,22.7,82.8,89.4,28.2,51.4,1520.11
wheat,6.47,438.8,26.7,63.2,115.6,66.9,51.9,3379.14
rice,7.54,934.7,35.9,73.8,146.2,71.4,74.5,4653.88
maize,6.95,618.2,29.0,59.1,117.6,39.5,50.6,4796.79
cotton,5.54,671.9,28.6,57.1,106.0,28.6,67.7,1508.33
cotton,6.51,646.7,29.0,78.1,76.4,60.7,84.0,2069.22
wheat,6.48,572.7,20.4,60.1,104.6,31.5,32.8,2903.82
cotton,7.03,860.4,28.3,66.1,58.1,47.0,42.0,1715.39
sugarcane,6.42,1264.4,31.1,69.5,68.5,39.6,48.2,50913.57
wheat,7.48,655.2,17.3,78.7,104.1,10.2,58.2,2282.46
maize,7.51,642.8,21.7,68.0,50.7,57.5,57.0,3644.43
sugarcane,5.81,1000.3,27.1,79.7,99.4,46.5,28.2,48235.19
rice,5.88,1128.5,32.1,72.0,142.9,67.4,61.6,4710.03
rice,7.31,595.2,31.2,57.3,88.0,52.9,47.7,3422.8
rice,6.26,983.8,26.4,66.6,174.3,71.5,41.9,4988.81
rice,6.97,944.9,21.9,30.0,138.5,47.3,50.5,4331.27
rice,6.44,1909.5,28.4,48.8,119.9,41.9,62.3,3814.29
cotton,7.09,981.7,26.6,54.8,118.6,30.6,84.6,2003.63
maize,6.57,653.2,24.7,66.9,96.6,62.3,83.3,6032.65
rice,5.72,1432.9,32.3,78.2,146.1,73.2,31.5,3728.15
maize,6.71,751.5,27.8,73.4,95.8,47.2,39.0,4262.2
maize,7.27,829.0,25.2,65.2,127.9,67.9,57.5,5599.63
rice,6.78,1452.4,28.7,69.0,90.7,45.4,59.8,3769.69
maize,6.94,832.1,28.3,60.2,93.8,58.8,57.5,4529.54
wheat,6.12,366.1,20.1,73.0,50.4,45.3,57.4,2445.04
rice,6.62,1174.1,28.7,30.0,117.4,36.2,86.9,4477.7
wheat,6.88,434.6,20.5,66.3,72.1,51.4,55.4,3160.04
sugarcane,5.5,1609.8,33.5,70.4,133.4,30.0,56.3,53941.63
cotton,5.99,693.7,33.0,64.4,101.7,37.7,44.3,1691.36
sugarcane,6.19,1530.7,27.3,51.8,134.8,56.1,28.8,52847.96
sugarcane,6.46,1161.8,33.0,56.2,95.9,49.8,82.2,67587.85
wheat,5.05,501.2,21.8,37.4,156.8,51.8,76.7,2760.71
wheat,6.36,690.0,19.6,38.7,57.3,52.5,53.7,3089.2
cotton,6.87,686.4,26.5,71.3,89.5,53.9,26.3,1786.01
maize,8.1,1025.0,23.0,39.4,106.5,51.8,37.8,3170.25
maize,6.08,847.8,31.7,62.1,136.5,10.5,68.2,3681.38
sugarcane,6.35,1566.2,29.6,80.1,77.1,65.8,54.4,56577.4
rice,6.56,1310.3,29.3,79.2,142.3,26.1,72.4,3990.6
maize,6.45,725.1,30.4,62.7,120.0,63.2,43.5,5128.69
maize,7.55,651.9,22.8,69.1,134.0,42.5,78.3,5287.32
maize,6.87,746.6,23.8,72.8,97.8,49.0,53.5,4566.16
wheat,6.68,624.0,17.5,68.8,86.3,52.5,49.5,3140.33
cotton,5.61,646.6,36.7,80.0,96.7,11.4,38.4,1013.33
rice,6.73,1496.1,33.3,55.1,93.7,100.0,50.0,3809.11
wheat,6.44,505.0,20.2,81.6,140.3,31.2,54.4,3593.58
rice,7.06,1511.4,30.2,77.5,99.5,35.8,108.9,4280.39
rice,6.87,1138.8,25.8,76.4,81.6,40.1,37.1,3260.25
cotton,6.46,597.0,11.3,92.6,110.0,41.8,61.5,1607.17
maize,7.55,943.9,32.7,72.3,130.6,70.5,63.9,4951.58
cotton,6.68,558.4,26.5,76.3,83.6,38.9,46.4,1759.37
cotton,7.28,746.0,26.3,64.1,103.6,48.4,62.8,2105.43
maize,7.11,706.9,26.7,74.2,90.0,80.8,66.6,5917.09
wheat,6.33,602.1,21.0,85.5,137.6,62.5,61.5,3710.44
sugarcane,6.66,1185.2,30.0,60.6,72.3,63.6,79.2,72947.44
rice,7.32,1077.8,26.5,30.0,90.6,68.6,15.0,3145.24
rice,7.56,1279.0,30.4,36.9,68.1,61.0,60.7,3583.26
sugarcane,5.31,1621.9,32.0,60.1,77.5,69.8,52.3,45713.09
rice,5.74,1530.8,31.7,73.4,59.0,32.2,37.8,2403.38
wheat,6.48,386.8,16.1,56.4,157.1,68.3,48.8,4341.6
sugarcane,6.64,1529.8,28.8,68.3,137.6,47.3,55.9,72289.85
wheat,6.43,613.1,21.9,62.4,113.2,61.1,27.7,3375.75
cotton,5.88,618.4,33.8,68.2,66.7,67.6,69.6,1925.05
rice,6.76,1475.4,27.4,68.4,101.0,16.0,73.3,3960.28
sugarcane,7.12,1304.1,38.5,55.0,138.4,69.8,51.5,64376.88
maize,6.14,464.1,27.7,79.6,102.2,50.1,48.5,4508.1
sugarcane,7.33,1214.0,28.5,59.5,101.0,41.2,69.0,58510.66
wheat,7.18,628.3,22.2,63.4,96.2,29.3,37.2,2605.17
sugarcane,7.03,1014.5,31.8,69.4,111.4,63.7,61.7,78433.51
sugarcane,6.93,1414.3,32.5,77.6,75.5,60.3,33.0,57547.84
sugarcane,6.94,1461.5,28.1,67.6,152.2,48.3,67.5,74658.12
wheat,5.95,641.4,22.8,72.9,109.3,56.9,70.8,3550.97
maize,7.09,928.6,27.9,82.9,111.1,59.5,56.5,4763.3
sugarcane,7.16,1841.0,26.4,43.8,108.0,13.4,48.7,46213.7
wheat,5.49,648.0,14.5,61.9,101.0,43.7,68.8,2453.17
wheat,6.66,518.2,21.9,43.7,78.7,21.5,82.0,2993.57
wheat,6.29,483.0,22.5,59.3,95.1,64.0,58.8,3743.46
maize,6.51,718.3,29.0,72.6,189.7,29.7,65.4,5193.56
sugarcane,6.77,863.8,26.4,78.7,140.0,60.0,51.4,58202.98
wheat,5.98,718.5,16.0,60.2,69.8,49.6,82.4,2680.43
sugarcane,5.7,1802.9,32.3,90.7,66.0,41.7,59.2,46343.69
cotton,7.07,652.9,37.5,68.6,20.0,46.5,80.2,1340.39
sugarcane,6.99,1284.4,23.6,62.0,146.0,38.9,38.1,61015.93
cotton,6.78,658.2,32.5,98.0,50.2,67.1,57.1,2028.82
rice,7.13,1107.2,29.6,71.4,89.2,47.6,62.1,4481.26
wheat,6.24,406.1,27.1,68.2,102.1,28.3,113.7,2620.97
cotton,6.46,599.9,26.2,90.5,117.1,68.6,53.5,2289.39
sugarcane,6.53,1214.1,34.0,77.2,144.0,44.8,43.0,57582.54
cotton,6.01,764.7,27.3,81.2,100.2,20.5,25.3,1240.05
cotton,5.53,609.5,24.3,62.4,131.4,13.9,15.5,1147.34
cotton,6.15,817.5,33.8,61.5,140.8,21.1,60.3,1958.13
sugarcane,6.85,998.9,39.5,73.3,128.0,38.2,77.3,56536.06
rice,5.48,1054.0,25.4,77.0,130.0,55.1,22.4,2920.23
rice,7.18,1556.1,32.9,60.7,130.9,14.0,41.3,3364.27
wheat,7.36,515.1,17.4,79.6,82.4,31.7,54.5,2230.96
rice,6.8,1314.4,26.1,65.6,57.5,38.8,74.5,3237.54
sugarcane,6.82,1586.7,31.3,61.2,149.5,47.8,51.7,73342.25
maize,6.46,831.0,26.9,51.2,147.9,48.8,59.0,5678.52
sugarcane,7.71,1331.9,31.2,53.8,67.6,50.8,40.5,47780.46
wheat,6.39,513.9,23.6,58.6,125.2,39.5,40.1,2966.54
cotton,7.47,739.0,31.6,44.2,102.3,25.6,98.3,1988.25
cotton,7.03,732.6,28.8,84.3,91.1,61.1,22.4,1752.95
wheat,6.34,510.6,20.7,55.7,59.5,69.7,84.2,3565.34
wheat,6.26,740.7,15.0,52.2,71.6,43.8,63.6,2790.76
cotton,6.91,682.7,25.6,75.5,133.1,25.7,68.7,2083.19
sugarcane,5.5,1169.8,30.3,76.1,79.8,40.7,30.7,43144.89
cotton,5.67,375.1,24.9,70.3,113.6,47.7,26.8,1575.8
maize,6.16,779.5,26.2,56.6,80.0,16.7,61.1,3309.81
cotton,6.25,455.2,24.1,85.2,67.7,27.7,28.3,1286.41
rice,7.21,1057.4,26.8,53.4,133.9,44.0,35.4,3713.66
rice,6.7,1782.9,33.4,66.8,106.3,74.4,57.7,4564.74
wheat,6.12,475.9,20.4,63.2,134.1,34.0,53.9,3513.72
sugarcane,6.75,1617.9,36.5,59.0,122.8,81.3,51.5,70814.06
cotton,8.0,839.6,27.5,61.2,156.8,63.1,26.8,2085.06
sugarcane,5.74,1461.8,30.7,59.0,113.2,34.2,82.5,57273.6
sugarcane,6.81,1519.8,29.7,69.7,163.0,51.9,47.5,73125.61
maize,6.82,719.9,25.7,55.4,120.5,59.8,22.0,4552.14
maize,5.19,764.9,25.1,82.4,131.4,50.2,49.6,4048.38
cotton,6.7,574.1,32.4,73.6,80.7,35.6,24.7,1352.6
wheat,6.67,797.3,16.5,86.5,98.9,10.0,44.9,2372.71
sugarcane,6.44,1410.3,31.5,78.2,132.3,49.7,78.9,69645.44
maize,5.84,992.5,31.8,54.0,54.6,24.1,32.1,2664.76
wheat,6.17,653.5,20.1,48.5,96.6,54.8,50.6,3080.27
cotton,7.13,561.0,31.6,62.0,82.3,74.0,58.5,2053.86
cotton,5.86,630.5,22.5,81.3,169.1,75.1,79.5,2689.74
rice,6.31,1410.9,29.6,98.0,118.0,35.7,67.8,4276.62
wheat,7.34,545.7,23.1,68.7,45.6,10.0,59.2,1937.63
wheat,5.93,272.2,28.0,54.8,40.5,34.0,27.1,1522.92
rice,6.27,969.3,35.9,52.8,110.2,30.5,60.9,3038.15
wheat,7.75,596.9,24.7,57.9,87.4,10.0,78.7,2496.26
rice,6.76,1375.4,27.8,55.6,150.6,50.8,26.1,4392.0
rice,6.85,1766.8,28.1,65.5,79.5,53.7,41.6,3675.39
wheat,6.79,504.1,26.0,67.4,82.5,47.8,29.1,2540.48
rice,6.38,805.2,25.7,74.7,170.1,43.2,61.6,4851.62
wheat,6.85,493.6,20.8,66.4,143.4,59.9,49.1,3584.13
wheat,7.33,393.6,16.8,54.7,121.4,67.3,15.0,2991.33
cotton,7.3,554.4,15.0,67.7,164.7,70.2,62.5,2237.03
rice,6.53,845.1,28.0,80.2,96.3,49.4,60.0,3924.96
rice,6.61,880.4,27.3,47.9,134.3,57.9,20.4,4248.36
wheat,6.83,526.4,21.2,61.7,135.0,55.7,48.5,3922.92
sugarcane,6.5,1592.4,31.2,52.3,89.8,31.7,20.7,42307.85
rice,6.88,1373.6,30.5,68.6,163.6,10.0,57.9,4110.82
wheat,6.53,623.5,19.9,65.0,112.0,34.1,48.1,2642.22
maize,5.99,826.0,32.5,79.6,206.7,17.0,44.9,3728.36
wheat,6.45,596.1,18.9,77.0,88.0,46.3,22.5,2603.06
wheat,6.29,404.2,11.2,64.8,114.8,44.1,52.1,2835.39
rice,6.33,1429.0,29.7,63.3,155.3,80.1,30.1,4871.23
wheat,5.36,594.0,18.5,70.8,109.4,27.4,54.1,2090.28
sugarcane,5.6,1702.3,36.9,52.5,105.7,41.1,51.6,52789.51
wheat,5.27,580.9,17.7,65.4,84.5,80.5,23.8,2638.29
sugarcane,7.0,1300.0,34.3,85.1,98.4,41.1,84.9,73655.11
maize,6.62,854.7,21.1,58.4,126.0,82.8,52.2,5660.17
wheat,5.38,561.4,13.5,32.9,120.4,47.5,49.3,2441.58
cotton,6.76,605.7,30.5,56.4,75.2,58.9,72.1,1948.73
maize,6.55,928.8,25.5,35.3,64.8,50.9,60.8,4542.11
cotton,6.14,440.7,23.3,55.5,95.1,26.2,71.4,1532.41
maize,5.73,710.2,26.1,71.8,71.0,66.5,43.1,3562.99
sugarcane,6.85,1101.5,37.5,73.7,100.8,49.0,73.6,55354.32
cotton,5.27,882.2,22.5,59.7,122.5,23.5,25.1,953.41
cotton,5.25,702.3,31.6,73.7,77.4,34.0,60.4,1194.98
sugarcane,6.97,1146.8,31.7,51.9,170.3,48.6,35.5,74438.93
sugarcane,7.5,1372.6,31.3,85.1,100.6,72.0,66.5,72443.22
wheat,7.15,397.8,20.4,53.8,52.2,37.0,74.6,2764.45
cotton,6.84,830.9,32.8,70.3,121.9,51.1,33.4,2071.87
sugarcane,4.85,1537.6,39.4,67.5,40.4,32.9,51.3,25200.0
sugarcane,7.77,1197.6,33.0,66.8,154.0,52.3,50.3,60229.35
sugarcane,6.23,1233.8,32.9,49.5,148.9,45.2,52.7,70674.41
cotton,6.71,531.2,27.5,76.5,144.8,15.9,60.1,1867.58
cotton,7.73,724.9,25.0,83.1,141.8,67.9,68.7,2595.98
rice,8.06,1426.9,27.8,65.2,99.8,37.7,79.8,3291.84
sugarcane,6.18,1776.5,24.3,47.1,114.8,45.5,40.7,55863.25
cotton,6.78,696.5,35.8,54.3,187.3,34.3,28.2,1880.55
sugarcane,6.89,1035.0,25.2,85.6,81.9,17.1,75.0,45570.47
wheat,7.08,291.6,21.8,59.1,167.9,56.2,59.8,4104.73
maize,6.67,594.5,22.7,92.7,115.8,76.4,65.0,5954.84
rice,6.27,1543.4,31.7,55.8,78.4,35.2,41.5,3229.09
rice,6.76,1307.4,30.5,72.2,124.7,67.6,67.8,5003.02
maize,6.68,693.9,23.5,71.8,80.1,68.1,34.2,4914.33
wheat,7.23,533.9,19.7,91.2,52.8,62.4,52.8,2878.47
sugarcane,6.71,1153.9,30.5,62.1,133.9,31.2,37.8,59622.18
wheat,7.2,346.6,23.3,79.4,143.4,66.9,99.0,4163.01
sugarcane,5.86,1127.3,30.6,68.5,136.6,54.2,84.2,71634.16
sugarcane,6.61,1542.6,31.2,78.4,74.2,28.6,84.3,65611.01
maize,6.73,709.1,22.7,83.4,140.4,36.0,66.5,4622.68
wheat,6.02,758.4,15.7,86.2,135.9,68.0,46.1,3369.63
cotton,6.35,677.9,26.8,59.1,50.6,36.3,42.5,1509.97
maize,6.04,814.9,24.0,70.2,67.5,38.7,58.3,3531.8
rice,7.09,1219.4,34.8,98.0,134.7,49.1,67.5,4048.78
cotton,6.96,578.3,26.4,41.8,68.9,51.4,37.6,1860.83
wheat,6.49,422.8,30.8,79.3,118.6,46.6,79.0,3683.46
sugarcane,7.67,1232.1,35.7,89.0,81.4,18.8,61.0,40488.89
sugarcane,6.3,1666.4,33.8,86.8,96.1,73.5,58.7,69651.05
cotton,6.59,775.7,30.7,64.9,112.2,38.3,25.4,1769.96
cotton,7.06,701.9,26.0,62.9,125.1,60.2,43.1,2138.74
sugarcane,7.11,1575.6,30.4,55.1,113.2,16.8,57.9,57065.18
rice,5.68,806.9,27.7,92.0,134.9,10.4,28.1,2476.19
sugarcane,6.49,1111.2,37.4,80.3,143.7,39.5,20.4,59605.65
maize,6.87,630.0,24.2,76.0,65.3,58.4,55.9,4802.06
sugarcane,5.34,1006.7,29.0,62.7,58.4,63.4,29.7,34400.52
rice,8.2,1716.9,24.9,90.1,96.0,47.3,53.7,2542.23
wheat,8.56,615.8,27.0,67.4,129.6,42.4,108.7,2071.31
wheat,7.6,552.0,18.1,30.0,126.3,59.2,21.0,2970.34
cotton,5.41,554.8,31.2,78.7,88.7,44.5,32.7,1242.6
cotton,7.33,677.0,32.6,34.8,137.7,24.9,90.3,1923.4
cotton,5.8,521.4,24.3,71.8,83.1,49.4,60.3,1657.59
sugarcane,5.91,1410.9,38.8,79.7,94.1,38.3,30.5,46562.96
maize,6.71,654.0,34.1,73.0,100.2,49.8,39.5,3920.57
cotton,7.05,701.5,27.1,66.3,72.8,13.2,64.3,1689.59
maize,5.87,854.8,31.8,63.6,101.5,71.4,65.1,4891.17
wheat,7.0,580.9,24.6,97.0,113.9,52.3,37.4,2881.08
rice,6.81,1112.3,26.8,72.0,114.4,59.0,81.0,4674.36
sugarcane,6.79,1271.2,31.6,62.2,98.5,65.0,15.0,59337.93
rice,6.16,1460.0,25.9,77.3,82.5,23.4,31.9,3092.97
maize,7.44,698.4,26.6,46.3,91.2,65.2,29.3,4558.54
sugarcane,6.09,1695.8,31.6,87.0,107.8,33.3,60.5,55386.07
sugarcane,6.5,1403.8,31.1,69.1,94.9,67.9,31.6,59461.16
wheat,7.2,500.8,19.3,53.8,132.1,42.3,68.5,3560.09
cotton,5.39,946.2,35.1,59.9,141.8,54.1,67.5,1582.47
